"Plot Title: shrub"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597554, SEN S/N: 20597554)","Intensity, Lux (LGR S/N: 20597554, SEN S/N: 20597554)","Coupler Attached (LGR S/N: 20597554)","Host Connected (LGR S/N: 20597554)","Stopped (LGR S/N: 20597554)","End Of File (LGR S/N: 20597554)"
103,04/21/24 07:00:00  PM,30.255,2411.1,,,,
104,04/21/24 07:30:00  PM,28.159,193.8,,,,
105,04/21/24 08:00:00  PM,26.879,0.0,,,,
106,04/21/24 08:30:00  PM,26.390,0.0,,,,
107,04/21/24 09:00:00  PM,23.196,0.0,,,,
108,04/21/24 09:30:00  PM,21.855,0.0,,,,
109,04/21/24 10:00:00  PM,21.855,0.0,,,,
110,04/21/24 10:30:00  PM,20.901,0.0,,,,
111,04/21/24 11:00:00  PM,20.519,0.0,,,,
112,04/21/24 11:30:00  PM,19.758,0.0,,,,
113,04/22/24 12:00:00  AM,20.043,0.0,,,,
114,04/22/24 12:30:00  AM,19.472,0.0,,,,
115,04/22/24 01:00:00  AM,18.901,0.0,,,,
116,04/22/24 01:30:00  AM,19.187,0.0,,,,
117,04/22/24 02:00:00  AM,18.140,0.0,,,,
118,04/22/24 02:30:00  AM,18.236,0.0,,,,
119,04/22/24 03:00:00  AM,17.665,0.0,,,,
120,04/22/24 03:30:00  AM,16.618,0.0,,,,
121,04/22/24 04:00:00  AM,16.332,0.0,,,,
122,04/22/24 04:30:00  AM,16.618,0.0,,,,
123,04/22/24 05:00:00  AM,15.282,0.0,,,,
124,04/22/24 05:30:00  AM,15.378,0.0,,,,
125,04/22/24 06:00:00  AM,15.378,796.5,,,,
126,04/22/24 06:30:00  AM,15.282,3272.2,,,,
127,04/22/24 07:00:00  AM,20.901,88178.4,,,,
128,04/22/24 07:30:00  AM,28.754,93689.5,,,,
129,04/22/24 08:00:00  AM,31.778,46844.8,,,,
130,04/22/24 08:30:00  AM,36.187,38578.0,,,,
131,04/22/24 09:00:00  AM,39.957,74400.5,,,,
132,04/22/24 09:30:00  AM,43.966,121245.2,,,,
133,04/22/24 10:00:00  AM,39.615,5511.1,,,,
134,04/22/24 10:30:00  AM,32.600,1463.9,,,,
135,04/22/24 11:00:00  AM,34.163,32.3,,,,
136,04/22/24 11:30:00  AM,34.479,0.0,,,,
137,04/22/24 12:00:00  PM,34.691,43.1,,,,
138,04/22/24 12:30:00  PM,33.326,0.0,,,,
139,04/22/24 12:49:13  PM,,,Logged,,,
140,04/22/24 12:49:29  PM,,,,Logged,,
141,04/22/24 12:49:36  PM,,,,,Logged,Logged
