species,Seed.length.mm,seed size source,seed.weight,Seed.weight.datasource,,,,,,
Eriastrum.eremicum,,,0.52,https://ser-sid.org/species/a3b5bc03-ef5e-43cf-8887-f05d9b4bf0a3,,,,,,
Eriogonum.gracillimum,,,,,,,,,,
Eriogonum.reniforme,,,,,,,,,,
Eriogonum.trichopes,,,0.38,https://ser-sid.org/species/03bda807-fd00-441d-b3cb-fe1c8a994fda,,,,,,
Eriophyllum.pringlei,,,0.59,https://ser-sid.org/species/2411adf4-c704-4d30-b40c-5094f32b9130,,,,,,
Eriophyllum.wallacei,,,0.28,https://ser-sid.org/species/d9fc5200-9b2d-4a90-9e1a-059350a15996,,,,,,
Erodium.cicutarium,,,2.02,https://ser-sid.org/species/9ea6419a-0019-464a-802e-2f9c8b31b15e,,,,,,
Eschscholzia.glyptosperma,,,0.87,https://ser-sid.org/species/f506ca7c-b859-4f7c-9d97-52e70fe457eb,,,,,,
Eschscholzia.minutiflora,,,0.52,https://ser-sid.org/species/ea72c60e-3a31-4da5-a2b1-1f7263bc9565,,,,,,
Festuca.microstachys,,,1.57,https://ser-sid.org/species/3084de17-2d26-40f4-8eef-73b3b78471ff,,,,,,
Festuca.octoflora,,,0.41,https://ser-sid.org/species/9f8f808f-a8d2-40f9-9783-f280f296d2f8,,,,,,
fuzzypinnatecuy2 NA,,,,,,,,,,
Gilia.clokeyi NA,,,0.23,https://ser-sid.org/species/8a5051b2-fa75-414f-b927-f15902b13560,,,,,,
Globemallow. like bells,,,,,,,,KEW Seed Information Database (SID),,
Herniaria.cinerea,,,0.22,https://ser-sid.org/species/ddf6a89b-23e8-4af0-899b-cb5bcfa89c62,,,,,,
Hordeum.murinum,,,15.41,https://ser-sid.org/species/84f320d3-6470-45f4-a7e0-e8584dba6917,,,,,,
Lastarriaea.coriacea,,,,,,,,,,
Lasthenia.californica,,,0.08,https://ser-sid.org/species/aed566bb-d40c-4a5f-b291-3278d4752dcc,,,,,,
Lepidium.lasiocarpum,,,0.33,https://ser-sid.org/species/33a32720-2056-4bee-8159-a3aba92f93d1,,,,,,
Leptosiphon.liniflorus,,,,,,,,,,
Linanthus.demissis,,,0.03,this weight is for parryae,https://ser-sid.org/species/4ea51e61-581f-410e-8b37-0f31ed24815c,,,,,
Loeseliastrum.schotti,,,0.41,https://ser-sid.org/species/33f17246-a2b3-42fe-9db0-04b4d6169fd5,,,,,,
Logfia.depressa,,,,,,,,,,
Lupinus.arizonicus,,,7.34,https://ser-sid.org/species/fae488aa-913e-4490-9d2d-71d4f2c564e8,,,,,,
Lupinus.flavoculatus,,,,,,,,,,
Lupinus.microcarpus,,,23.31,https://ser-sid.org/species/a27153ce-c842-41b2-addd-caf7bf916ed2,,,,,,
Malacothrix.glabrata,,,0.26,https://ser-sid.org/species/f4d407c2-a421-4c2c-8dd4-a831d03327d3,,,,,,
Menzelia.sp,,,,,,,,,,
Monoptilon.bellioides,,,0.28,https://ser-sid.org/species/13160fef-7430-4690-81ba-37f76502ef2a,,,,,,
Nama.demissa,,,0.05,https://ser-sid.org/species/a6daf512-e56f-4bae-a5a5-fa9722fd3b42,,,,,,
Nemacladus.sp,,,,,,,,,,
Oenothera.cespitosa,,,2.56,https://ser-sid.org/species/e1199f68-160d-4e3d-9540-67dfd3c2eff6,,,,,,
Oxytheca.perfoliata,,,0.42,https://ser-sid.org/species/67c66ffb-9be6-4f47-ae0e-667b98a67e6b,,,,,,
Pectocarya.sp,,,,,,,,,,
Phacelia.fremontii,,,0.17,https://ser-sid.org/species/e977d2fc-bb2d-4637-84ef-8151ae81869e,,,,,,
Phacelia.ramossima,,,0.86,https://ser-sid.org/species/0b6a4cde-ad05-4b36-bd84-9af3bfbdaaa2,,,,,,
Phacelia.tanacetifolia,,,1.74,https://ser-sid.org/species/acfbc835-9528-47d6-8dea-66af6c1bb29b,,,,,,
Pholistoma.membranaceum,,,5.32,https://ser-sid.org/species/bcbae50d-c560-4db7-9288-e57a39d120df,,,,,,
Plantago.ovata,,,1.46,https://ser-sid.org/species/ae77445b-6b3c-40f7-85e5-48e690225c31,,,,,,
Poa.secunda,,,0.51,https://ser-sid.org/species/ab5aa539-a14d-4097-8d42-cbe7ad378fd0,,,,,,
