Site,Year,total_precip_inches
Tecopa,2023,3.32
Tecopa,2024,3.65
Yucca,2023,1.51
Yucca,2024,2.01
Barstow,2023,2.26
Barstow,2024,3.93
Cuyama 1,2023,5.8464567
Cuyama 1,2024,6.6692913
Cuyama 2,2023,5.8464567
Cuyama 2,2024,6.6692913
HOM,2023,0.86
HOM,2024,1.96
Sheephole,2023,1.61
Sheephole,2024,2.26
