slide.id,rep,color,sample,ant.species,year,Season,site,webers,mandible,
10,3,orange,S20,Solenopsis molesta,2023,summer,Cuyama 2,0.509,0.244,
9,1,red,S30,Solenopsis xyloni,2023,spring,Cuyama 2,0.973,0.409,
9,2,blue,O19,Solenopsis xyloni,2024,spring,Cuyama 2,0.899,0.411,
9,3,orange,S20,Solenopsis xyloni,2024,spring,Cuyama 2,0.84,0.447,
9,4,pink,S15,Solenopsis xyloni,2024,spring,Cuyama 2,0.931,0.414,
9,5,gold,S30,Solenopsis xyloni,2023,summer,Cuyama 2,0.821,0.39,
9,6,silver,S30,Solenopsis xyloni,2023,summer,Cuyama 2,0.784,0.419,
4,1,red,S29,Aphaenogaster megommata,2023,spring,HOM,1.48,0.539,
4,2,blue,S30,Aphaenogaster megommata,2023,spring,HOM,1.404,0.53,
4,9,orange,O10,Dorymyrmex insanus,2024,spring,HOM,1.208,0.398,
4,11,gold,S10,Dorymyrmex insanus,2024,spring,HOM,0.85,0.392,
3,1,red,O24,Messor pergandei,2023,spring,HOM,1.792,0.684,
3,2,blue,O25,Messor pergandei,2023,spring,HOM,1.88,0.844,
3,3,orange,O14,Messor pergandei,2023,summer,HOM,1.475,0.642,
3,4,pink,O14,Messor pergandei,2024,spring,HOM,1.606,0.684,
3,5,gold,O15,Messor pergandei,2024,spring,HOM,1.429,0.633,
3,6,silver,O19,Messor pergandei,2024,spring,HOM,1.499,0.678,
4,8,blue,O19,Myrmecocystus kennedyi,2023,spring,HOM,1.11,0.516,
4,10,pink,O9,Myrmecocystus lugubris,2024,spring,HOM,1.426,0.458,
4,7,red,S15,Myrmecocystus mexicanus,2023,spring,HOM,1.882,0.705,
4,3,orange,S25,Pheidole hyatti,2024,spring,HOM,1.06,0.401,
4,4,pink,S29,Pheidole hyatti,2024,spring,HOM,0.84,0.322,
4,5,gold,S29,Pheidole hyatti,2024,spring,HOM,1.026,0.452,
4,6,silver,S29,Pheidole hyatti,2024,spring,HOM,1.001,0.338,
4,13,purple,S29,Pheidole hyatti,2024,spring,HOM,0.928,0.343,
4,14,silver,S29,Pheidole hyatti,2024,spring,HOM,1.165,0.459,
3,7,red,O5,Solenopsis xyloni,2023,summer,HOM,0.742,0.361,
3,8,blue,O5,Solenopsis xyloni,2023,summer,HOM,0.933,0.424,
3,9,orange,O5,Solenopsis xyloni,2023,summer,HOM,0.855,0.414,
3,10,pink,S24,Solenopsis xyloni,2023,summer,HOM,0.732,0.339,
3,11,gold,S34,Solenopsis xyloni,2024,spring,HOM,0.848,0.387,
14,9,orange,O19,Aphaenogaster megommata,2024,spring,Sheephole,1.867,0.535,
14,10,pink,O20,Aphaenogaster megommata,2024,spring,Sheephole,1.594,0.63,
14,11,gold,S19,Aphaenogaster megommata,2024,spring,Sheephole,1.426,0.575,
15,1,red,S10,Crematogaster depilis,2023,spring,Sheephole,0.9,0.456,
15,2,blue,S5,Crematogaster depilis,2023,spring,Sheephole,,0.417,webers length not usable from photo
15,3,orange,S5,Crematogaster depilis,2023,spring,Sheephole,1.052,0.461,
15,4,pink,O5,Crematogaster depilis,2023,summer,Sheephole,1.075,0.446,
15,5,gold,S4,Crematogaster depilis,2023,summer,Sheephole,0.992,0.465,
15,6,silver,S5,Crematogaster depilis,2023,summer,Sheephole,0.981,0.44,
15,7,red,O5,Dorymyrmex insanus,2024,spring,Sheephole,1.035,0.365,
15,8,blue,O5,Dorymyrmex insanus,2024,spring,Sheephole,0.924,0.354,
